,clstr_name,index,clstr_num,Recall,Precision,F1 score,Acc,Recall_sub,Precision_sub,F1 score_sub,Acc_sub,Recall_n,Precision_n,F1 score_n,Acc_n
sp_char,online,3.0,0.4,0.7040000000000001,0.535,0.608,0.918,0.682,0.228,0.342,0.8959999999999999,0.627,0.077,0.13699999999999998,0.885
app_char,online,3.0,0.4,0.674,0.529,0.593,0.9159999999999999,0.674,0.233,0.34600000000000003,0.899,0.611,0.077,0.13699999999999998,0.888
entities,skfuzzy,34.0,17.0,0.71,0.102,0.179,0.396,0.725,0.047,0.08900000000000001,0.376,0.728,0.019,0.037000000000000005,0.365
keywords,specteral,20.0,3.0,0.787,0.098,0.174,0.307,0.763,0.043,0.081,0.276,0.787,0.018000000000000002,0.035,0.263
w_sp_ch_lines,online,3.0,0.4,0.547,0.482,0.513,0.906,0.467,0.181,0.261,0.895,0.456,0.065,0.113,0.8959999999999999
w_sp_ch_words,online,3.0,0.4,0.38,0.446,0.41,0.901,0.305,0.157,0.208,0.907,0.366,0.069,0.116,0.919
doc2vec,skfuzzy,21.0,4.0,0.8270000000000001,0.098,0.17600000000000002,0.282,0.8370000000000001,0.045,0.085,0.25,0.8340000000000001,0.018000000000000002,0.035,0.233
d2v_bert,skfuzzy,24.0,7.0,0.794,0.097,0.174,0.301,0.7979999999999999,0.044,0.084,0.271,0.83,0.018000000000000002,0.036000000000000004,0.257
tfidf_text,skfuzzy,19.0,2.0,0.7959999999999999,0.1,0.17800000000000002,0.319,0.773,0.044,0.083,0.28800000000000003,0.818,0.019,0.036000000000000004,0.275
