,threshold,clstr_num,new_links,sum_links,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub
0,0.0,208.0,3904.0,7808.0,0.271,0.56,0.365,0.303,0.283,0.293
1,0.1,208.0,3904.0,7808.0,0.271,0.56,0.365,0.303,0.283,0.293
2,0.2,208.0,3805.0,7610.0,0.269,0.567,0.365,0.3,0.286,0.293
3,0.3,208.0,3110.0,6220.0,0.246,0.609,0.351,0.281,0.315,0.297
4,0.4,208.0,2373.0,4746.0,0.215,0.653,0.323,0.255,0.35,0.295
5,0.5,208.0,1073.0,2146.0,0.154,0.763,0.256,0.209,0.47,0.289
6,0.6,208.0,824.0,1648.0,0.138,0.776,0.235,0.193,0.491,0.277
7,0.7,208.0,665.0,1330.0,0.129,0.785,0.222,0.186,0.512,0.273
8,0.8,208.0,381.0,762.0,0.108,0.795,0.189,0.164,0.548,0.252
9,0.9,208.0,153.0,306.0,0.089,0.781,0.16,0.146,0.581,0.234
10,0.9,208.0,153.0,306.0,0.089,0.781,0.16,0.146,0.581,0.234
11,0.91,208.0,153.0,306.0,0.089,0.781,0.16,0.146,0.581,0.234
12,0.92,208.0,151.0,302.0,0.089,0.78,0.16,0.146,0.582,0.234
13,0.93,208.0,151.0,302.0,0.089,0.78,0.16,0.146,0.582,0.234
14,0.94,208.0,151.0,302.0,0.089,0.78,0.16,0.146,0.582,0.234
15,0.95,208.0,151.0,302.0,0.089,0.78,0.16,0.146,0.582,0.234
16,0.96,208.0,151.0,302.0,0.089,0.78,0.16,0.146,0.582,0.234
17,0.97,208.0,151.0,302.0,0.089,0.78,0.16,0.146,0.582,0.234
18,0.98,208.0,151.0,302.0,0.089,0.78,0.16,0.146,0.582,0.234
19,0.99,208.0,151.0,302.0,0.089,0.78,0.16,0.146,0.582,0.234
