,threshold,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,0.1,3.0,0.995,0.09,0.166,0.095,0.996,0.04,0.076,0.044,0.996,0.015,0.029,0.02
1,0.2,7.0,0.989,0.091,0.166,0.104,0.99,0.04,0.077,0.055,0.982,0.015,0.029,0.03
2,0.30000000000000004,9.0,0.981,0.091,0.167,0.118,0.976,0.04,0.077,0.069,0.972,0.015,0.029,0.045
3,0.4,11.0,0.971,0.091,0.167,0.124,0.969,0.04,0.077,0.076,0.954,0.015,0.029,0.052
4,0.5,17.0,0.923,0.092,0.168,0.173,0.917,0.04,0.077,0.13,0.91,0.015,0.029,0.109
5,0.6000000000000001,23.0,0.875,0.093,0.168,0.218,0.877,0.041,0.078,0.18,0.868,0.015,0.029,0.161
6,0.7000000000000001,54.0,0.802,0.094,0.169,0.288,0.78,0.04,0.077,0.255,0.784,0.015,0.029,0.241
7,0.8,141.0,0.486,0.093,0.157,0.527,0.439,0.037,0.068,0.525,0.472,0.015,0.029,0.529
8,0.9,431.0,0.001,0.233,0.002,0.909,0.002,0.2,0.003,0.96,0.002,0.1,0.004,0.985
9,0.9,431.0,0.001,0.233,0.002,0.909,0.002,0.2,0.003,0.96,0.002,0.1,0.004,0.985
10,0.91,438.0,0.0,0.667,0.001,0.91,0.001,0.5,0.002,0.96,0.001,0.167,0.001,0.985
11,0.92,442.0,0.0,1.0,0.0,0.91,0.001,1.0,0.001,0.96,0.001,0.5,0.001,0.985
12,0.93,442.0,0.0,1.0,0.0,0.91,0.001,1.0,0.001,0.96,0.001,0.5,0.001,0.985
13,0.9400000000000001,442.0,0.0,1.0,0.0,0.91,0.001,1.0,0.001,0.96,0.001,0.5,0.001,0.985
14,0.9500000000000001,442.0,0.0,1.0,0.0,0.91,0.001,1.0,0.001,0.96,0.001,0.5,0.001,0.985
15,0.96,442.0,0.0,1.0,0.0,0.91,0.001,1.0,0.001,0.96,0.001,0.5,0.001,0.985
16,0.97,442.0,0.0,1.0,0.0,0.91,0.001,1.0,0.001,0.96,0.001,0.5,0.001,0.985
17,0.98,442.0,0.0,1.0,0.0,0.91,0.001,1.0,0.001,0.96,0.001,0.5,0.001,0.985
18,0.99,442.0,0.0,1.0,0.0,0.91,0.001,1.0,0.001,0.96,0.001,0.5,0.001,0.985
