,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.935,0.143,0.247,0.241,0.895,0.084,0.153,0.189,0.786,0.108,0.19,0.194
1,3.0,0.823,0.162,0.271,0.409,0.816,0.098,0.176,0.374,0.643,0.114,0.194,0.357
2,4.0,0.774,0.141,0.238,0.34,0.711,0.079,0.142,0.301,0.732,0.12,0.207,0.323
3,5.0,0.726,0.152,0.251,0.422,0.737,0.094,0.167,0.4,0.679,0.128,0.215,0.404
4,6.0,0.774,0.15,0.251,0.383,0.789,0.093,0.167,0.357,0.732,0.128,0.218,0.366
5,7.0,0.758,0.156,0.258,0.419,0.711,0.089,0.159,0.385,0.643,0.119,0.201,0.385
6,8.0,0.645,0.157,0.253,0.492,0.553,0.083,0.144,0.462,0.518,0.114,0.187,0.458
7,9.0,0.597,0.144,0.232,0.473,0.553,0.082,0.142,0.456,0.518,0.113,0.185,0.452
8,10.0,0.548,0.157,0.244,0.546,0.5,0.088,0.149,0.533,0.411,0.106,0.168,0.512
9,11.0,0.581,0.158,0.248,0.531,0.605,0.101,0.173,0.527,0.5,0.123,0.197,0.51
10,12.0,0.435,0.129,0.199,0.533,0.368,0.067,0.113,0.529,0.464,0.124,0.196,0.542
11,13.0,0.387,0.121,0.185,0.544,0.342,0.066,0.11,0.548,0.411,0.116,0.181,0.553
12,14.0,0.452,0.14,0.214,0.557,0.395,0.075,0.126,0.553,0.464,0.13,0.203,0.561
13,15.0,0.435,0.152,0.225,0.6,0.316,0.067,0.111,0.587,0.5,0.157,0.239,0.617
14,16.0,0.516,0.199,0.287,0.658,0.526,0.124,0.201,0.658,0.268,0.093,0.138,0.598
15,17.0,0.371,0.148,0.212,0.632,0.342,0.084,0.135,0.641,0.339,0.123,0.18,0.628
16,18.0,0.452,0.2,0.277,0.686,0.447,0.121,0.191,0.69,0.25,0.1,0.143,0.639
17,19.0,0.355,0.179,0.238,0.697,0.316,0.098,0.149,0.705,0.214,0.098,0.134,0.667
18,20.0,0.387,0.202,0.265,0.714,0.289,0.092,0.14,0.71,0.232,0.109,0.149,0.68
19,2.0,0.948,0.174,0.294,0.265,0.925,0.117,0.208,0.215,0.832,0.141,0.241,0.22
20,3.0,0.858,0.201,0.326,0.428,0.869,0.141,0.242,0.394,0.72,0.156,0.256,0.378
21,4.0,0.819,0.178,0.293,0.361,0.794,0.119,0.207,0.324,0.79,0.158,0.264,0.344
22,5.0,0.819,0.176,0.29,0.353,0.794,0.118,0.205,0.315,0.748,0.148,0.248,0.324
23,6.0,0.806,0.203,0.325,0.459,0.813,0.141,0.241,0.43,0.678,0.158,0.256,0.413
24,7.0,0.806,0.197,0.316,0.438,0.794,0.134,0.229,0.405,0.72,0.162,0.265,0.405
25,8.0,0.768,0.195,0.312,0.453,0.776,0.136,0.232,0.428,0.734,0.172,0.279,0.436
26,9.0,0.652,0.196,0.301,0.513,0.664,0.138,0.228,0.501,0.622,0.173,0.271,0.501
27,10.0,0.69,0.204,0.315,0.515,0.701,0.143,0.237,0.498,0.636,0.173,0.272,0.494
28,11.0,0.69,0.204,0.315,0.515,0.664,0.135,0.225,0.49,0.622,0.17,0.266,0.49
29,12.0,0.613,0.203,0.304,0.548,0.626,0.143,0.233,0.54,0.594,0.181,0.278,0.54
30,13.0,0.51,0.199,0.286,0.59,0.514,0.139,0.218,0.59,0.552,0.199,0.293,0.602
31,14.0,0.561,0.202,0.297,0.571,0.57,0.142,0.227,0.567,0.58,0.193,0.289,0.575
32,15.0,0.561,0.232,0.328,0.63,0.57,0.163,0.253,0.625,0.524,0.2,0.29,0.617
33,16.0,0.484,0.216,0.299,0.634,0.514,0.159,0.242,0.642,0.497,0.205,0.29,0.638
34,17.0,0.587,0.259,0.36,0.663,0.626,0.191,0.293,0.663,0.483,0.197,0.279,0.63
35,18.0,0.548,0.263,0.356,0.68,0.533,0.176,0.265,0.671,0.469,0.207,0.288,0.655
36,19.0,0.51,0.261,0.345,0.688,0.495,0.175,0.259,0.684,0.552,0.261,0.354,0.7
