,threshold,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,0.1,0.207,0.188,0.207,0.138,0.095,0.138,0.138,0.074,0.138
1,0.2,0.245,0.316,0.245,0.163,0.211,0.163,0.163,0.145,0.163
2,0.30000000000000004,0.226,0.219,0.226,0.161,0.147,0.161,0.161,0.111,0.161
3,0.4,0.241,0.219,0.241,0.172,0.147,0.172,0.172,0.111,0.172
4,0.5,0.241,0.219,0.241,0.172,0.147,0.172,0.172,0.111,0.172
5,0.6000000000000001,0.276,0.258,0.276,0.207,0.182,0.207,0.207,0.13,0.207
6,0.7000000000000001,0.276,0.25,0.276,0.207,0.176,0.207,0.207,0.13,0.207
7,0.8,0.288,0.405,0.288,0.212,0.297,0.212,0.212,0.22,0.212
8,0.9,0.414,0.364,0.414,0.345,0.294,0.345,0.345,0.213,0.345
9,0.91,0.414,0.364,0.414,0.345,0.294,0.345,0.345,0.213,0.345
10,0.911,0.395,0.447,0.395,0.326,0.368,0.326,0.326,0.286,0.326
11,0.912,0.395,0.447,0.395,0.326,0.368,0.326,0.326,0.286,0.326
12,0.913,0.395,0.447,0.395,0.326,0.368,0.326,0.326,0.286,0.326
13,0.914,0.395,0.447,0.395,0.326,0.368,0.326,0.326,0.286,0.326
14,0.915,0.395,0.447,0.395,0.326,0.368,0.326,0.326,0.286,0.326
15,0.916,0.395,0.447,0.395,0.326,0.368,0.326,0.326,0.286,0.326
16,0.917,0.381,0.432,0.381,0.31,0.351,0.31,0.333,0.286,0.333
17,0.918,0.381,0.432,0.381,0.31,0.351,0.31,0.333,0.286,0.333
18,0.919,0.381,0.432,0.381,0.31,0.351,0.31,0.333,0.286,0.333
